PID,PartnerId,TcinId,Color,colorName,Size,DepartmentIds,ClassIds
PID-YPWMG7,7161,94656740,Red,Burgundy,8.5,96,4
PID-YPWMG7,7161,94656741,Red,Burgundy,9,96,4
PID-YPWMG7,7161,94656742,Red,Burgundy,9.5,96,4
PID-YPWMG7,7161,94656743,Red,Burgundy,10,96,4
PID-YPWMG7,7161,94656744,Red,Burgundy,11,96,4
PID-YPWMG7,7161,94656745,Red,Burgundy,12,96,4
PID-YPWMG7,7161,87466756,Brown,Light Brown,5,96,4
PID-YPWMG7,7161,94646903,Black,Black,5,96,4
PID-YPWMG7,7161,87466757,Brown,Light Brown,5.5,96,4
PID-YPWMG7,7161,94646904,Black,Black,5.5,96,4
PID-YPWMG7,7161,94646907,Black,Black,7,96,4
PID-YPWMG7,7161,94646908,Black,Black,7.5,96,4
PID-YPWMG7,7161,94646905,Black,Black,6,96,4
PID-YPWMG7,7161,94646906,Black,Black,6.5,96,4
PID-YPWMG7,7161,94646909,Black,Black,8,96,4
PID-YPWMG7,7161,87466758,Brown,Light Brown,6,96,4
PID-YPWMG7,7161,94656733,Red,Burgundy,5,96,4
PID-YPWMG7,7161,87466759,Brown,Light Brown,6.5,96,4
PID-YPWMG7,7161,94656734,Red,Burgundy,5.5,96,4
PID-YPWMG7,7161,94656735,Red,Burgundy,6,96,4
PID-YPWMG7,7161,94656736,Red,Burgundy,6.5,96,4
PID-YPWMG7,7161,94656737,Red,Burgundy,7,96,4
PID-YPWMG7,7161,94656738,Red,Burgundy,7.5,96,4
PID-YPWMG7,7161,94656739,Red,Burgundy,8,96,4
PID-YPWMG7,7161,87466760,Brown,Light Brown,7,96,4
PID-YPWMG7,7161,94646910,Black,Black,8.5,96,4
PID-YPWMG7,7161,94646911,Black,Black,9,96,4
PID-YPWMG7,7161,87466767,Brown,Light Brown,11,96,4
PID-YPWMG7,7161,94646914,Black,Black,11,96,4
PID-YPWMG7,7161,87466768,Brown,Light Brown,12,96,4
PID-YPWMG7,7161,94646915,Black,Black,12,96,4
PID-YPWMG7,7161,87466765,Brown,Light Brown,9.5,96,4
PID-YPWMG7,7161,94646912,Black,Black,9.5,96,4
PID-YPWMG7,7161,87466766,Brown,Light Brown,10,96,4
PID-YPWMG7,7161,94646913,Black,Black,10,96,4
PID-YPWMG7,7161,87466763,Brown,Light Brown,8.5,96,4
PID-YPWMG7,7161,87466764,Brown,Light Brown,9,96,4
PID-YPWMG7,7161,87466761,Brown,Light Brown,7.5,96,4
PID-YPWMG7,7161,87466762,Brown,Light Brown,8,96,4
PID-YPWW4X,7161,94645340,Black,Black,6,96,7
PID-YPWW4X,7161,94645341,Black,Black,6.5,96,7
PID-YPWW4X,7161,94645350,Black,Black,12,96,7
PID-YPWW4X,7161,94645344,Black,Black,8,96,7
PID-YPWW4X,7161,94645345,Black,Black,8.5,96,7
PID-YPWW4X,7161,94645342,Black,Black,7,96,7
PID-YPWW4X,7161,94645343,Black,Black,7.5,96,7
PID-YPWW4X,7161,94645348,Black,Black,10,96,7
PID-YPWW4X,7161,94645338,Black,Black,5,96,7
PID-YPWW4X,7161,94645349,Black,Black,11,96,7
PID-YPWW4X,7161,94645346,Black,Black,9,96,7
PID-YPWW4X,7161,94645347,Black,Black,9.5,96,7
PID-YPWW4X,7161,94645339,Black,Black,5.5,96,7
PID-YPY0YK,7161,94808274,Beige,Natural,6,96,
PID-YPY0YK,7161,94808273,Beige,Natural,5.5,96,
PID-YPY0YK,7161,94808284,Beige,Natural,12,96,
PID-YPY0YK,7161,94808276,Beige,Natural,7,96,
PID-YPY0YK,7161,94808275,Beige,Natural,6.5,96,
PID-YPY0YK,7161,94808281,Beige,Natural,9.5,96,
PID-YPY0YK,7161,94808280,Beige,Natural,9,96,
PID-YPY0YK,7161,94808272,Beige,Natural,5,96,
PID-YPY0YK,7161,94808283,Beige,Natural,11,96,
PID-YPY0YK,7161,94808282,Beige,Natural,10,96,
PID-YPY0YK,7161,94808278,Beige,Natural,8,96,
PID-YPY0YK,7161,94808277,Beige,Natural,7.5,96,
PID-YPY0YK,7161,94808279,Beige,Natural,8.5,96,
PID-YPYE48,7161,94822848,Beige,Taupe,7.5,96,5
PID-YPYE48,7161,94822849,Beige,Taupe,8,96,5
PID-YPYE48,7161,94822846,Beige,Taupe,6.5,96,5
PID-YPYE48,7161,94822847,Beige,Taupe,7,96,5
PID-YPYE48,7161,94822844,Beige,Taupe,5.5,96,5
PID-YPYE48,7161,94822855,Beige,Taupe,12,96,5
PID-YPYE48,7161,94822845,Beige,Taupe,6,96,5
PID-YPYE48,7161,94822853,Beige,Taupe,10,96,5
PID-YPYE48,7161,94822843,Beige,Taupe,5,96,5
PID-YPYE48,7161,94822854,Beige,Taupe,11,96,5
PID-YPYE48,7161,94822851,Beige,Taupe,9,96,5
PID-YPYE48,7161,94822852,Beige,Taupe,9.5,96,5
PID-YPYE48,7161,94822850,Beige,Taupe,8.5,96,5
PID-YPYE58,,,,,,,
PID-YPYE6E,,,,,,,
PID-YPYEYE,7161,94836379,Beige,Natural,9.5,96,0
PID-YPYEYE,7161,94836377,Beige,Natural,8.5,96,0
PID-YPYEYE,7161,94836378,Beige,Natural,9,96,0
PID-YPYEYE,7161,94836375,Beige,Natural,7.5,96,0
PID-YPYEYE,7161,94836376,Beige,Natural,8,96,0
PID-YPYEYE,7161,94836373,Beige,Natural,6.5,96,0
PID-YPYEYE,7161,94836374,Beige,Natural,7,96,0
