PID,PartnerId,TcinId,Color,colorName,Size,DepartmentIds,ClassIds
PID-09W1G,,,,,,,
PID-0LEYW5,,,,,,,
PID-355E55,,,,,,,
PID-44Y75E,,,,,,,
PID-540GPK,,,,,,,
PID-607RE1,,,,,,,
PID-993RX5,,,,,,,
PID-99WX58,,,,,,,
PID-9K6EG7,,,,,,,
PID-E7M7Z6,,,,,,,
PID-G9WE23,,,,,,,
PID-KL8G0K,,,,,,,
PID-L0EWE8,,,,,,,
PID-LR19ME,,,,,,,
PID-M95514,,,,,,,
PID-MR0Y09,ERROR,Failed to retrieve product information,,,,,
PID-N762,,,,,,,
PID-P6830L,,,,,,,
PID-0L2G7X,,,,,,,
PID-0L7588,49907,94940084,Pink,Pink,,2,
PID-0L7588,49907,94940092,Green,Green,,2,
PID-0L7588,49907,94940093,White,White,,2,
PID-0L7588,49907,94940089,Blue,Navy Blue,,2,
PID-0L7691,,,,,,,
PID-0LK5XM,,,,,,,
PID-0LLPM4,3401,94351808,Beige,Tan,,2,5
PID-0LLPM4,3401,94351809,Pink,Pink,,2,5
PID-0LP6MK,,,,,,,
PID-0LP821,51894,94904795,White,True White,,2,
PID-0LP891,,,,,,,
PID-0LP905,,,,,,,
PID-0LWEEM,,,,,,,
PID-1K17MY,3401,94761231,Multicolored,Multicolor,,2,
PID-1K17MY,3401,94761399,Multicolored,Multicolor,,2,
PID-1K1R1W,,,,,,,
PID-1K716R,,,,,,,
PID-1K87L1,,,,,,,
PID-1K880E,62367,94904744,Brown,Dark Brown,,2,
PID-1K8882,,,,,,,
PID-1K88KE,,,,,,,
PID-1K8YP8,,,,,,,
PID-1K93ZZ,22951,94912525,Black,Black,,2,1
PID-1K93ZZ,22951,94912528,Blue,Blue,,2,1
PID-1K93ZZ,22951,94912522,White,True White,,2,1
PID-1K93ZZ,22951,94912529,Pink,Light Pink,,2,1
PID-1KML13,,,,,,,
PID-1KR58L,,,,,,,
PID-2M111X,,,,,,,
PID-2M1690,,,,,,,
PID-2M1758,,,,,,,
PID-2M56GG,,,,,,,
PID-2M71M6,,,,,,,
PID-2M7Y25,,,,,,,
PID-2M8XZ7,22951,94912526,Blue,Blue,,2,1
PID-2M8XZ7,22951,94912523,Black,Black,,2,1
PID-2M8XZ7,22951,94908617,,,,2,1
PID-2M8XZ7,22951,94912531,Pink,Light Pink,,2,1
PID-2M8XZ7,22951,94912530,White,True White,,2,1
PID-2MYY2E,62367,94684705,Multicolored,Multicolor Naturals,,2,
PID-2MZ70E,83137,94684725,Pink,Pink,,2,7
PID-2MZ70E,83137,94684726,Green,Green,,2,7
PID-2MZ70E,83137,94684729,Purple,Purple,,2,7
PID-2MZ70E,83137,94684731,White,White,,2,7
PID-3548L9,,,,,,,
PID-354Y80,,,,,,,
PID-3576KZ,49907,94940114,White,White,,2,
PID-3576KZ,49907,94940112,Blue,Navy Blue,,2,
PID-357P5Y,,,,,,,
PID-3587K9,83137,94684728,White,White,,2,7
PID-3587K9,83137,94684722,Pink,Pink,,2,7
PID-3587K9,83137,94684724,Purple,Purple,,2,7
PID-3587K9,83137,94684732,Green,Green,,2,7
PID-35P6ZW,,,,,,,
PID-35P7M8,,,,,,,
PID-35PPL6,,,,,,,
PID-35PRGL,,,,,,,
PID-35PYKZ,,,,,,,
PID-35W07G,,,,,,,
PID-44GP3W,3708,94908649,Purple,Lavender,,2,4
PID-44GP3W,3708,94908660,Green,Green,,2,4
PID-44GPKX,51894,94908654,Green,Green,,2,
PID-44GPKX,51894,94908651,Clear,Clear,,2,
PID-44GPKX,51894,94908662,Pink,Pink,,2,
PID-44M1XX,,,,,,,
PID-44MZ5E,5200,95271404,Beige,Tan,,2,
PID-44MZ5E,5200,1009825554,Red,Red,,2,
PID-44MZ5E,5200,1009825550,Green,Green,,2,
PID-44PP4L,,,,,,,
PID-44PYR7,,,,,,,
PID-44Y2Z1,3401,94761227,Blue,Blue,,2,
PID-44YRP4,,,,,,,
