PID,PartnerId,TcinId,Color,colorName,Size,DepartmentIds,ClassIds
PID-3572PR,33892,94873450,Pink,Light Pink,X Large,222,
PID-3572PR,33892,94873451,Pink,Light Pink,XX Large,222,
PID-3572PR,33892,94873447,Pink,Light Pink,Small,222,
PID-3572PR,33892,94873446,Pink,Light Pink,X Small,222,
PID-3572PR,33892,94873449,Pink,Light Pink,Large,222,
PID-3572PR,33892,94873448,Pink,Light Pink,Medium,222,
PID-357E6E,25129,94873469,Multicolored,Multicolor,Large,222,
PID-357E6E,25129,94873470,Multicolored,Multicolor,X Large,222,
PID-357E6E,25129,94873471,Multicolored,Multicolor,XX Large,222,
PID-359E44,,,,,,,
PID-35KKK1,3225,95048914,Pink,Pink,Medium,222,
PID-35KKK1,3225,95048912,Pink,Pink,X Small,222,
PID-35KKK1,3225,95048916,Pink,Pink,X Large,222,
PID-35KKK1,3225,95048913,Pink,Pink,Small,222,
PID-35KKK1,3225,95048915,Pink,Pink,Large,222,
PID-35KKK1,3225,95048917,Pink,Pink,XX Large,222,
PID-35PYYL,33892,94755379,Black,Black,X Small,222,
PID-35PYYL,33892,94755386,Black,Black,X Large Plus,222,
PID-35PYYL,33892,94755383,Black,Black,X Large,222,
PID-35PYYL,33892,94755382,Black,Black,Large,222,
PID-35PYYL,33892,94755385,Black,Black,Large Plus,222,
PID-35PYYL,33892,94755384,Black,Black,Medium Plus,222,
PID-35PYYL,33892,94755381,Black,Black,Medium,222,
PID-35PYYL,33892,94755380,Black,Black,Small,222,
PID-35R0RX,6243,95099298,Black,Black,X Large,222,
PID-35R0RX,6243,95099299,Black,Black,XX Large,222,
PID-35R0RX,6243,95099228,Purple,Purple,Large,222,
PID-35R0RX,6243,95099294,Black,Black,X Small,222,
PID-35R0RX,6243,95099229,Purple,Purple,X Large,222,
PID-35R0RX,6243,1007801608,Purple,Purple,XX Large,222,
PID-35R0RX,6243,95099297,Black,Black,Large,222,
PID-35R0RX,6243,95099226,Purple,Purple,Small,222,
PID-35R0RX,6243,95099296,Black,Black,Medium,222,
PID-35R0RX,6243,95099227,Purple,Purple,Medium,222,
PID-35R0RX,6243,95099295,Black,Black,Small,222,
PID-35R0RX,6243,95099225,Purple,Purple,X Small,222,
PID-35R2Z3,43014,95099033,Off-White,Cream,Small,222,
PID-35R2Z3,43014,95099032,Off-White,Cream,X Small,222,
PID-35R2Z3,43014,95099035,Off-White,Cream,Large,222,
PID-35R2Z3,43014,95099034,Off-White,Cream,Medium,222,
PID-35R2Z3,43014,95099036,Off-White,Cream,X Large,222,
PID-35R2Z3,43014,95099037,Off-White,Cream,XX Large,222,
PID-35W2P6,3225,95048484,Orange,Peach Orange,X Large,222,
PID-35W2P6,3225,95048489,Blue,Blue,XX Large,222,
PID-35W2P6,3225,1007002460,Orange,Peach Orange,XX Large,222,
PID-35W2P6,3225,95048483,Orange,Peach Orange,Large,222,
PID-35W2P6,3225,95048487,Blue,Blue,Large,222,
PID-35W2P6,3225,95048488,Blue,Blue,X Large,222,
PID-35WG24,98,95098714,Red,Burgundy,X Large,222,
PID-35WG24,98,95099199,Off-White,Cream,Large,222,
PID-35WG24,98,95099201,Off-White,Cream,XX Large,222,
PID-35WG24,98,95099200,Off-White,Cream,X Large,222,
PID-35WG24,98,95098711,Red,Burgundy,Small,222,
PID-35WG24,98,95098715,Red,Burgundy,XX Large,222,
PID-35WG24,98,95098713,Red,Burgundy,Large,222,
PID-35WG24,98,95098710,Red,Burgundy,X Small,222,
PID-35WG24,98,95099196,Off-White,Cream,X Small,222,
PID-35WG24,98,95099198,Off-White,Cream,Medium,222,
PID-35WG24,98,95098712,Red,Burgundy,Medium,222,
PID-35WG24,98,95099197,Off-White,Cream,Small,222,
PID-35WY6Z,25129,95048746,Multicolored,Multicolor,Medium,222,
PID-35WY6Z,25129,95048747,Multicolored,Multicolor,Large,222,
PID-35WY6Z,25129,95048748,Multicolored,Multicolor,X Large,222,
PID-35WY6Z,25129,95048749,Multicolored,Multicolor,Medium Plus,222,
PID-35WY6Z,25129,95048744,Multicolored,Multicolor,X Small,222,
PID-35WY6Z,25129,95048745,Multicolored,Multicolor,Small,222,
PID-35WY6Z,25129,95048750,Multicolored,Multicolor,Large Plus,222,
PID-35WY6Z,25129,95048751,Multicolored,Multicolor,X Large Plus,222,
