PID,PartnerId,TcinId,Color,colorName,Size,DepartmentIds,ClassIds
PID-X0ZR0X,6613,94886051,Off-White,Cream,3X,13,9
PID-X0ZR0X,6613,94886057,Green,Green,X Large,13,9
PID-X0ZR0X,6613,94886055,Green,Green,Medium,13,9
PID-X0ZR0X,6613,94886056,Green,Green,Large,13,9
PID-X0ZR0X,6613,94886050,Off-White,Cream,2X,13,9
PID-X0ZR0X,6613,94886064,Blue,Blue,Small,13,9
PID-X0ZR0X,6613,94886061,Green,Green,3X,13,9
PID-X0ZR0X,6613,94886043,Off-White,Cream,X Small,13,9
PID-X0ZR0X,6613,94886065,Blue,Blue,Medium,13,9
PID-X0ZR0X,6613,94886069,Blue,Blue,1X,13,9
PID-X0ZR0X,6613,94886060,Green,Green,2X,13,9
PID-X0ZR0X,6613,94886058,Green,Green,XX Large,13,9
PID-X0ZR0X,6613,94886072,Blue,Blue,4X,13,9
PID-X0ZR0X,6613,94886049,Off-White,Cream,1X,13,9
PID-X0ZR0X,6613,94886066,Blue,Blue,Large,13,9
PID-X0ZR0X,6613,94886070,Blue,Blue,2X,13,9
PID-X0ZR0X,6613,94886045,Off-White,Cream,Medium,13,9
PID-X0ZR0X,6613,94886046,Off-White,Cream,Large,13,9
PID-X0ZR0X,6613,94886071,Blue,Blue,3X,13,9
PID-X0ZR0X,6613,94886067,Blue,Blue,X Large,13,9
PID-X0ZR0X,6613,94886063,Blue,Blue,X Small,13,9
PID-X0ZR0X,6613,94886068,Blue,Blue,XX Large,13,9
PID-X0ZR0X,6613,94886052,Off-White,Cream,4X,13,9
PID-X0ZR0X,6613,94886047,Off-White,Cream,X Large,13,9
PID-X0ZR0X,6613,94886062,Green,Green,4X,13,9
PID-X0ZR0X,6613,94886054,Green,Green,Small,13,9
PID-X0ZR0X,6613,94886053,Green,Green,X Small,13,9
PID-X0ZR0X,6613,94886059,Green,Green,1X,13,9
PID-X0ZR0X,6613,94886044,Off-White,Cream,Small,13,9
PID-X0ZR0X,6613,94886048,Off-White,Cream,XX Large,13,9
PID-X0ZX9P,7423,94820150,Black,Black,4X,13,9
PID-X0ZX9P,7423,94820142,Black,Black,Small,13,9
PID-X0ZX9P,7423,94820141,Black,Black,X Small,13,9
PID-X0ZX9P,7423,94820148,Black,Black,2X,13,9
PID-X0ZX9P,7423,94820147,Black,Black,1X,13,9
PID-X0ZX9P,7423,94820149,Black,Black,3X,13,9
PID-X0ZX9P,7423,94820144,Black,Black,Large,13,9
PID-X0ZX9P,7423,94820143,Black,Black,Medium,13,9
PID-X0ZX9P,7423,94820146,Black,Black,XX Large,13,9
PID-X0ZX9P,7423,94820145,Black,Black,X Large,13,9
PID-X0ZXL6,114715,94502257,Brown,Brown,X Small,13,10
PID-X0ZXL6,114715,94502256,Green,Olive Green,4X,13,10
PID-X0ZXL6,114715,94502255,Green,Olive Green,3X,13,10
PID-X0ZXL6,114715,94502254,Green,Olive Green,2X,13,10
PID-X0ZXL6,114715,94792541,,,,13,10
PID-X0ZXL6,114715,94792542,,,,13,10
PID-X0ZXL6,114715,94502259,Brown,Brown,Medium,13,10
PID-X0ZXL6,114715,94502258,Brown,Brown,Small,13,10
PID-X0ZXL6,114715,94792540,,,,13,10
PID-X0ZXL6,114715,94502253,Green,Olive Green,1X,13,10
PID-X0ZXL6,114715,94792538,,,,13,10
PID-X0ZXL6,114715,94502252,Green,Olive Green,XX Large,13,10
PID-X0ZXL6,114715,94792539,,,,13,10
PID-X0ZXL6,114715,94502251,Green,Olive Green,X Large,13,10
