PID,PartnerId,TcinId,Color,colorName,Size,DepartmentIds,ClassIds
PID-MRPXM7,1697,94853593,Pink,Pink,6-9 Months,206,
PID-MRPXM7,1697,94853575,Pink,Pink,12 Months,206,
PID-MRPXM7,1697,94853588,Pink,Pink,18 Months,206,
PID-MRPXM7,1697,94853587,Pink,Pink,24 Months,206,
PID-MRPXM7,1697,94853584,Pink,Pink,Newborn,206,
PID-MRPXM7,1697,94853585,Pink,Pink,3-6 Months,206,
PID-MRPXM7,1697,94853578,Pink,Pink,0-3 Months,206,
PID-MRW145,6613,95126698,Pink,Pink,Newborn,206,
PID-MRW145,6613,95126703,Pink,Pink,18 Months,206,
PID-MRW145,6613,95126704,Pink,Pink,24 Months,206,
PID-MRW145,6613,95126699,Pink,Pink,0-3 Months,206,
PID-MRW145,6613,95126700,Pink,Pink,3-6 Months,206,
PID-MRW145,6613,95126701,Pink,Pink,6-9 Months,206,
PID-MRW145,6613,95126702,Pink,Pink,12 Months,206,
PID-MRW19P,6613,95105928,Off-White,Off-White,0-3 Months,206,
PID-MRW19P,6613,95105929,Off-White,Off-White,3-6 Months,206,
PID-MRW19P,6613,95105931,Off-White,Off-White,12 Months,206,
PID-MRW19P,6613,95105932,Off-White,Off-White,18 Months,206,
PID-MRW19P,6613,95105933,Off-White,Off-White,24 Months,206,
PID-MRW19P,6613,95105927,Off-White,Off-White,Newborn,206,
PID-MRW19P,6613,95126430,Pink,Pink,24 Months,206,
PID-MRW19P,6613,95126428,Pink,Pink,12 Months,206,
PID-MRW19P,6613,95126429,Pink,Pink,18 Months,206,
PID-MRW19P,6613,95126424,Pink,Pink,Newborn,206,
PID-MRW19P,6613,95126425,Pink,Pink,0-3 Months,206,
PID-MRW19P,6613,95126426,Pink,Pink,3-6 Months,206,
PID-MRW19P,6613,95105930,Off-White,Off-White,6-9 Months,206,
PID-MRW19P,6613,95126427,Pink,Pink,6-9 Months,206,
PID-MRW2E4,6613,95126588,Orange,Orange,18 Months,206,
PID-MRW2E4,6613,95126589,Orange,Orange,24 Months,206,
PID-MRW2E4,6613,1008266466,Orange,Orange,Newborn,206,
PID-MRW2E4,6613,95126586,Orange,Orange,6-9 Months,206,
PID-MRW2E4,6613,95126585,Orange,Orange,3-6 Months,206,
PID-MRW2E4,6613,95126584,Orange,Orange,0-3 Months,206,
PID-MRW2E4,6613,95126587,Orange,Orange,12 Months,206,
PID-MRW7G8,269,95120529,Pink,Pink,3-12 Months,206,5
PID-MRW7G8,269,95120527,Blue,Blue,3-12 Months,206,5
PID-MRW7G8,269,95120526,Blue,Blue,0-3 Months,206,5
