PID,PartnerId,TcinId,Color,colorName,Size,DepartmentIds,ClassIds
PID-MR2P5X,33892,95267182,Blue,Blue,Small,238,
PID-MR2P5X,33892,95267190,Pink,Pink,XX Small,238,
PID-MR2P5X,33892,1009708858,Pink,Pink,Medium,238,
PID-MR2P5X,33892,95267191,Pink,Pink,X Small,238,
PID-MR2P5X,33892,1009708856,Blue,Blue,Medium,238,
PID-MR2P5X,33892,95267181,Blue,Blue,XX Small,238,
PID-MR2P5X,33892,95267193,Pink,Pink,Large,238,
PID-MR2P5X,33892,95267184,Blue,Blue,X Large,238,
PID-MR2P5X,33892,95267192,Pink,Pink,Small,238,
PID-MR2P5X,33892,1009708855,Blue,Blue,X Small,238,
PID-MR2P5X,33892,95267194,Pink,Pink,X Large,238,
PID-MR2P5X,33892,95267183,Blue,Blue,Large,238,
PID-MR36RZ,10523,95231720,Multicolored,Multicolor,X Small,238,16
PID-MR36RZ,10523,95231724,Multicolored,Multicolor,X Large,238,16
PID-MR36RZ,10523,95231723,Multicolored,Multicolor,Large,238,16
PID-MR36RZ,10523,95231722,Multicolored,Multicolor,Medium,238,16
PID-MR36RZ,10523,95231721,Multicolored,Multicolor,Small,238,16
PID-MR36RZ,10523,95231719,Multicolored,Multicolor,XX Small,238,16
PID-MR3859,33892,95080568,Multicolored,Multicolor,XX Small,238,
PID-MR3859,33892,95080570,Multicolored,Multicolor,Small,238,
PID-MR3859,33892,95080573,Multicolored,Multicolor,X Large,238,
PID-MR3859,33892,95080569,Multicolored,Multicolor,X Small,238,
PID-MR3859,33892,95080571,Multicolored,Multicolor,Medium,238,
PID-MR3859,33892,95080572,Multicolored,Multicolor,Large,238,
PID-MR3L6P,33892,95147523,Multicolored,Multicolor,X Small,238,9
PID-MR3L6P,33892,95147525,Multicolored,Multicolor,Medium,238,9
PID-MR3L6P,33892,95147524,Multicolored,Multicolor,Small,238,9
PID-MR3L6P,33892,95147527,Multicolored,Multicolor,X Large,238,9
PID-MR3L6P,33892,95147526,Multicolored,Multicolor,Large,238,9
PID-MR55KK,3225,95004005,Black,Black,Medium,238,
PID-MR55KK,3225,95004004,Black,Black,Small,238,
PID-MR55KK,3225,95004012,Beige,Beige,X Large,238,
PID-MR55KK,3225,95004009,Beige,Beige,Small,238,
PID-MR55KK,3225,95004010,Beige,Beige,Medium,238,
PID-MR55KK,3225,95004011,Beige,Beige,Large,238,
PID-MR55KK,3225,95004003,Black,Black,X Small,238,
PID-MR55KK,3225,95004007,Black,Black,X Large,238,
PID-MR55KK,3225,95004006,Black,Black,Large,238,
PID-MR55KK,3225,95004008,Beige,Beige,X Small,238,
PID-MR57GY,,,,,,,
PID-MR5EW1,3225,95016396,Black,Black,X Small,238,
PID-MR5EW1,3225,95016404,Blue,Blue,X Large,238,
PID-MR5EW1,3225,95016397,Black,Black,Small,238,
PID-MR5EW1,3225,95016403,Blue,Blue,Large,238,
PID-MR5EW1,3225,1006570655,Blue,Blue,Medium,238,
PID-MR5EW1,3225,95016401,Blue,Blue,X Small,238,
PID-MR5EW1,3225,95016399,Black,Black,Large,238,
PID-MR5EW1,3225,95016402,Blue,Blue,Small,238,
PID-MR5EW1,3225,95016398,Black,Black,Medium,238,
PID-MR5EW1,3225,95016400,Black,Black,X Large,238,
PID-MR6061,,,,,,,
PID-MR626E,6411,1011462023,Black,Black,XX Small,238,
PID-MR626E,6411,1011432826,Blue,Teal Blue,XX Small,238,
PID-MR626E,6411,1011432827,Blue,Teal Blue,X Small,238,
PID-MR626E,6411,1011462026,Black,Black,Medium,238,
PID-MR626E,6411,1011432828,Blue,Teal Blue,Small,238,
PID-MR626E,6411,1011462027,Black,Black,Large,238,
PID-MR626E,6411,1011432829,Blue,Teal Blue,Medium,238,
PID-MR626E,6411,1011462024,Black,Black,X Small,238,
PID-MR626E,6411,1011462025,Black,Black,Small,238,
PID-MR626E,6411,1011462028,Black,Black,X Large,238,
PID-MR626E,6411,1011432830,Blue,Teal Blue,Large,238,
PID-MR626E,6411,1011432831,Blue,Teal Blue,X Large,238,
PID-MR62XE,,,,,,,
PID-MR6394,,,,,,,
PID-MR6396,,,,,,,
PID-MR63E9,,,,,,,
PID-MR63X9,10523,1011680409,Pink,Pink,X Large,238,16
PID-MR63X9,10523,1011680408,Pink,Pink,Large,238,16
PID-MR63X9,10523,1011680407,Pink,Pink,Medium,238,16
PID-MR63X9,10523,1011680406,Pink,Pink,Small,238,16
PID-MR63X9,10523,1011680405,Pink,Pink,X Small,238,16
PID-MR63X9,10523,1011749084,Blue,Blue,XX Small,238,16
PID-MR63X9,10523,1011680404,Pink,Pink,XX Small,238,16
PID-MR63X9,10523,1011749085,Blue,Blue,X Small,238,16
PID-MR63X9,10523,1011749086,Blue,Blue,Small,238,16
PID-MR63X9,10523,1011749087,Blue,Blue,Medium,238,16
PID-MR63X9,10523,1011749088,Blue,Blue,Large,238,16
PID-MR63X9,10523,1011749089,Blue,Blue,X Large,238,16
PID-MR63Z9,10523,1011639980,Multicolored,Multicolor,X Small,238,16
PID-MR63Z9,10523,1011639979,Multicolored,Multicolor,XX Small,238,16
PID-MR63Z9,10523,1011639982,Multicolored,Multicolor,Medium,238,16
PID-MR63Z9,10523,1011639981,Multicolored,Multicolor,Small,238,16
