PID,PartnerId,TcinId,Color,colorName,Size,DepartmentIds,ClassIds
PID-YPY3M6,14472,94774547,Red,Red,XX Large,333,
PID-YPY3M6,14472,94774528,Black,Black,X Large,333,
PID-YPY3M6,14472,94774527,Black,Black,Large,333,
PID-YPY3M6,14472,94774529,Black,Black,XX Large,333,
PID-YPY853,31178,94845803,Blue,Blue,X Large,333,5
PID-YPY853,31178,94845802,Blue,Blue,Large,333,5
PID-YPY853,31178,94845799,Blue,Blue,X Small,333,5
PID-YPY853,31178,94845801,Blue,Blue,Medium,333,5
PID-YPY853,31178,94845800,Blue,Blue,Small,333,5
PID-YPY853,31178,94845804,Blue,Blue,XX Large,333,5
PID-Z20R41,14472,94981576,Off-White,Cream,Small,333,11
PID-Z20R41,14472,94981575,Off-White,Cream,X Small,333,11
PID-Z20R41,14472,94981579,Off-White,Cream,X Large,333,11
PID-Z20R41,14472,1006164607,Off-White,Cream,XX Large,333,11
PID-Z20R41,14472,94981577,Off-White,Cream,Medium,333,11
PID-Z20R41,14472,94981578,Off-White,Cream,Large,333,11
PID-Z20Z59,14472,94981527,Off-White,Off-White,XX Large,333,11
PID-Z20Z59,14472,94981524,Off-White,Off-White,Medium,333,11
PID-Z20Z59,14472,94981523,Off-White,Off-White,Small,333,11
PID-Z20Z59,14472,94981526,Off-White,Off-White,X Large,333,11
PID-Z20Z59,14472,94981522,Off-White,Off-White,X Small,333,11
PID-Z20Z59,14472,94981525,Off-White,Off-White,Large,333,11
PID-Z21182,14472,94843500,Green,Sage Green,Large,333,6
PID-Z21182,14472,94843511,Yellow,Dark Mustard Yellow,Medium,333,6
PID-Z21182,14472,94843512,Yellow,Dark Mustard Yellow,Large,333,6
PID-Z21182,14472,94843498,Green,Sage Green,Small,333,6
PID-Z21182,14472,94843501,Green,Sage Green,X Large,333,6
PID-Z21182,14472,94843509,Yellow,Dark Mustard Yellow,X Small,333,6
PID-Z21182,14472,94843502,Green,Sage Green,XX Large,333,6
PID-Z21182,14472,94843513,Yellow,Dark Mustard Yellow,X Large,333,6
PID-Z21182,14472,94843514,Yellow,Dark Mustard Yellow,XX Large,333,6
PID-Z21182,14472,94843497,Green,Sage Green,X Small,333,6
PID-Z21182,14472,94843499,Green,Sage Green,Medium,333,6
PID-Z21182,14472,94843510,Yellow,Dark Mustard Yellow,Small,333,6
PID-Z230ZX,31178,95103761,Blue,Dark Blue,6,333,
PID-Z230ZX,31178,95103759,Blue,Dark Blue,4,333,
PID-Z230ZX,31178,95103766,Blue,Dark Blue,12,333,
PID-Z230ZX,31178,95103763,Blue,Dark Blue,8,333,
PID-Z230ZX,31178,95103771,Blue,Dark Blue,16 Plus,333,
PID-Z230ZX,31178,95103762,Blue,Dark Blue,7,333,
PID-Z230ZX,31178,95103764,Blue,Dark Blue,10,333,
PID-Z230ZX,31178,95103767,Blue,Dark Blue,12 Plus,333,
PID-Z230ZX,31178,95103773,Blue,Dark Blue,18 Plus,333,
PID-Z230ZX,31178,95103770,Blue,Dark Blue,16,333,
PID-Z230ZX,31178,95103765,Blue,Dark Blue,10 Plus,333,
PID-Z230ZX,31178,95103760,Blue,Dark Blue,5,333,
PID-Z230ZX,31178,95103768,Blue,Dark Blue,14,333,
PID-Z230ZX,31178,95103772,Blue,Dark Blue,18,333,
PID-Z230ZX,31178,95103769,Blue,Dark Blue,14 Plus,333,
PID-Z234PK,31178,95103544,Blue,Medium Wash,Large,333,5
PID-Z234PK,31178,95103541,Blue,Medium Wash,X Small,333,5
PID-Z234PK,31178,95103545,Blue,Medium Wash,X Large,333,5
PID-Z234PK,31178,95103542,Blue,Medium Wash,Small,333,5
PID-Z234PK,31178,95103546,Blue,Medium Wash,XX Large,333,5
PID-Z234PK,31178,95103543,Blue,Medium Wash,Medium,333,5
PID-Z23LM4,14472,95103658,Beige,Tan,X Large,333,2
PID-Z23LM4,14472,95103654,Beige,Tan,X Small,333,2
PID-Z23LM4,14472,95103656,Beige,Tan,Medium,333,2
PID-Z23LM4,14472,95103657,Beige,Tan,Large,333,2
PID-Z23LM4,14472,95103659,Beige,Tan,XX Large,333,2
PID-Z23LM4,14472,95103655,Beige,Tan,Small,333,2
PID-Z23WZW,8924,95180863,Pink,Pink,Large,333,1
PID-Z23WZW,8924,95180857,Blue,Blue,Large,333,1
PID-Z23WZW,8924,95180861,Pink,Pink,Small,333,1
PID-Z23WZW,8924,95180869,White,White,Large,333,1
PID-Z23WZW,8924,95180853,Green,Green,X Large,333,1
PID-Z23WZW,8924,95180858,Blue,Blue,X Large,333,1
PID-Z23WZW,8924,95180860,Pink,Pink,X Small,333,1
PID-Z23WZW,8924,95180850,Green,Green,Small,333,1
PID-Z23WZW,8924,95180854,Green,Green,XX Large,333,1
PID-Z23WZW,8924,95180864,Pink,Pink,X Large,333,1
PID-Z23WZW,8924,95180852,Green,Green,Large,333,1
PID-Z23WZW,8924,95180868,White,White,Medium,333,1
PID-Z23WZW,8924,95180849,Green,Green,X Small,333,1
PID-Z23WZW,8924,95180866,White,White,X Small,333,1
PID-Z23WZW,8924,95180872,Gray,Heathered Gray,X Small,333,1
PID-Z23WZW,8924,95180875,Gray,Heathered Gray,X Large,333,1
PID-Z23WZW,8924,95180874,Gray,Heathered Gray,Medium,333,1
PID-Z23WZW,8924,1008852463,Gray,Heathered Gray,Large,333,1
PID-Z23WZW,8924,95180873,Gray,Heathered Gray,Small,333,1
PID-Z23WZW,8924,95180876,Gray,Heathered Gray,XX Large,333,1
PID-Z23WZW,8924,95180871,White,White,XX Large,333,1
PID-Z23WZW,8924,95180870,White,White,X Large,333,1
