PID,PartnerId,TcinId,Color,colorName,Size,DepartmentIds,ClassIds
PID-9KMXWP,,,,,,,
PID-9KMZE7,19195,1010802537,Blue,Blue,Large Tall,44,
PID-9KMZE7,19195,1010802544,Blue,Blue,5X Large,44,
PID-9KMZE7,19195,1010802540,Blue,Blue,3X Large,44,
PID-9KMZE7,19195,1010802538,Blue,Blue,X Large Tall,44,
PID-9KMZE7,19195,1010802565,Blue,Blue,X Large,44,
PID-9KMZE7,19195,1010802564,Blue,Blue,Large,44,
PID-9KMZE7,19195,1010802536,Blue,Blue,Medium Tall,44,
PID-9KMZE7,19195,1010802545,Blue,Blue,5X Large Tall,44,
PID-9KMZE7,19195,1010802541,Blue,Blue,3X Large Tall,44,
PID-9KMZE7,19195,1010802543,Blue,Blue,4X Large Tall,44,
PID-9KMZE7,19195,1010802539,Blue,Blue,XX Large Tall,44,
PID-9KMZE7,19195,1010802542,Blue,Blue,4X Large,44,
PID-9KMZE7,19195,1010802563,Blue,Blue,Medium,44,
PID-9KMZE7,19195,1010802566,Blue,Blue,XX Large,44,
PID-9KMZE7,19195,1010802562,Blue,Blue,Small,44,
PID-9KWZM9,44064,95040059,Blue,Blue,One Size Fits Most,44,
PID-9KXR22,3830,94460185,,,,44,2
PID-9KXR22,3830,94460186,,,,44,2
PID-9KXR22,3830,94460183,,,,44,2
PID-9KXR22,3830,94460184,,,,44,2
PID-9KXR22,3830,94460187,Blue,Blue,One Size Fits Most,44,2
PID-9KXR22,3830,94460188,,,,44,2
PID-9KYPM5,3830,1010419744,Brown,Brown,Small/Medium,44,
PID-9KYPM5,3830,1010419743,Black,Black,Medium/Large,44,
PID-9KYPM5,3830,1010419742,Black,Black,Small/Medium,44,
PID-9KYPM5,3830,95294244,Brown,Brown,Medium/Large,44,
PID-9KYPM5,3830,95294245,Brown,Brown,Large/X Large,44,
PID-9KYPM5,3830,95294243,Black,Black,Large/X Large,44,
PID-E16W,230,52960846,Black,Black,Large,44,4
PID-E16W,230,52960847,Black,Black,X Large,44,4
PID-E16W,230,52960843,Black,Black,Medium,44,4
PID-E5L7E,ERROR,Failed to retrieve product information,,,,,
PID-E71872,19195,1010764484,Green,Green,X Large Tall,44,
PID-E71872,19195,1010764487,Green,Green,3X Large Tall,44,
PID-E71872,19195,1010764483,Green,Green,Large Tall,44,
PID-E71872,19195,1010766549,Off-White,Cream,X Large Tall,44,
PID-E71872,19195,1010764488,Green,Green,4X Large,44,
PID-E71872,19195,1010766548,Off-White,Cream,Large Tall,44,
PID-E71872,19195,1010766547,Off-White,Cream,Medium Tall,44,
PID-E71872,19195,1010766553,Off-White,Cream,4X Large,44,
PID-E71872,19195,1010766552,Off-White,Cream,3X Large Tall,44,
PID-E71872,19195,1010766555,Off-White,Cream,5X Large,44,
PID-E71872,19195,1010764530,Blue,Navy Blue,Medium,44,
PID-E71872,19195,1010766554,Off-White,Cream,4X Large Tall,44,
PID-E71872,19195,1010764531,Blue,Navy Blue,Large,44,
PID-E71872,19195,1010764491,Green,Green,5X Large Tall,44,
PID-E71872,19195,1010766551,Off-White,Cream,3X Large,44,
PID-E71872,19195,1010766550,Off-White,Cream,XX Large Tall,44,
PID-E71872,19195,1010764536,Blue,Navy Blue,X Large Tall,44,
PID-E71872,19195,1010764537,Blue,Navy Blue,XX Large Tall,44,
PID-E71872,19195,1010764538,Blue,Navy Blue,3X Large,44,
PID-E71872,19195,1010766557,Off-White,Cream,Small,44,
PID-E71872,19195,1010764532,Blue,Navy Blue,X Large,44,
PID-E71872,19195,1010766556,Off-White,Cream,5X Large Tall,44,
PID-E71872,19195,1010764534,Blue,Navy Blue,Medium Tall,44,
PID-E71872,19195,1010766559,Off-White,Cream,Large,44,
PID-E71872,19195,1010766558,Off-White,Cream,Medium,44,
PID-E71872,19195,1010764490,Green,Green,5X Large,44,
PID-E71872,19195,1010766564,Off-White,Cream,Small,44,
PID-E71872,19195,1010764540,Blue,Navy Blue,4X Large,44,
PID-E71872,19195,1010764541,Blue,Navy Blue,4X Large Tall,44,
PID-E71872,19195,1010766565,Off-White,Cream,Medium,44,
PID-E71872,19195,1010766560,Off-White,Cream,X Large,44,
PID-E71872,19195,1010766561,Off-White,Cream,XX Large,44,
PID-E71872,19195,1010764306,Blue,Navy Blue,3X Large Tall,44,
PID-E71872,19195,1010764307,Blue,Navy Blue,4X Large,44,
PID-E71872,19195,1010764543,Blue,Navy Blue,5X Large Tall,44,
PID-E71872,19195,1010764301,Blue,Navy Blue,Medium Tall,44,
PID-E71872,19195,1010764268,Red,Red,Medium Tall,44,
PID-E71872,19195,1010764269,Red,Red,Large Tall,44,
PID-E71872,19195,1010764303,Blue,Navy Blue,X Large Tall,44,
PID-E71872,19195,1010764304,Blue,Navy Blue,XX Large Tall,44,
PID-E71872,19195,1010766569,Off-White,Cream,Large,44,
PID-E71872,19195,1010766178,Red,Red,XX Large Tall,44,
PID-E71872,19195,1010764276,Red,Red,5X Large,44,
PID-E71872,19195,1010766574,Off-White,Cream,X Large,44,
PID-E71872,19195,1010764310,Blue,Navy Blue,5X Large Tall,44,
PID-E71872,19195,1010764553,Red,Red,Small,44,
PID-E71872,19195,1010766576,Off-White,Cream,XX Large,44,
PID-E71872,19195,1010764271,Red,Red,XX Large Tall,44,
PID-E71872,19195,1010766174,Red,Red,XX Large,44,
PID-E71872,19195,1010764272,Red,Red,3X Large,44,
PID-E71872,19195,1010766175,Red,Red,Medium Tall,44,
