PID,PartnerId,TcinId,Color,colorName,Size,DepartmentIds,ClassIds
PID-P62Y8R,1,94829714,Yellow,Yellow,5T,31,
PID-P62Y8R,1,94829713,Yellow,Yellow,4T,31,
PID-P62Y8R,1,94829716,Blue,Light Blue,18 Months,31,
PID-P62Y8R,1,94829715,Blue,Light Blue,12 Months,31,
PID-P62Y8R,1,94829718,Blue,Light Blue,3T,31,
PID-P62Y8R,1,94829717,Blue,Light Blue,2T,31,
PID-P62Y8R,1,94829719,Blue,Light Blue,4T,31,
PID-P62Y8R,1,94971105,Purple,Light Purple,3T,31,
PID-P62Y8R,1,94971104,Purple,Light Purple,2T,31,
PID-P62Y8R,1,94971107,Purple,Light Purple,5T,31,
PID-P62Y8R,1,94971106,Purple,Light Purple,4T,31,
PID-P62Y8R,1,94971109,Off-White,Cream,18 Months,31,
PID-P62Y8R,1,94971108,Off-White,Cream,12 Months,31,
PID-P62Y8R,1,94829697,Off-White,Cream,18 Months,31,
PID-P62Y8R,1,94829696,Off-White,Cream,12 Months,31,
PID-P62Y8R,1,94829699,Off-White,Cream,3T,31,
PID-P62Y8R,1,94829710,Yellow,Yellow,18 Months,31,
PID-P62Y8R,1,94829698,Off-White,Cream,2T,31,
PID-P62Y8R,1,94829712,Yellow,Yellow,3T,31,
PID-P62Y8R,1,94971103,Purple,Light Purple,18 Months,31,
PID-P62Y8R,1,94829711,Yellow,Yellow,2T,31,
PID-P62Y8R,1,94971102,Purple,Light Purple,12 Months,31,
PID-P62Y8R,1,94829703,Pink,Pink,18 Months,31,
PID-P62Y8R,1,94829702,Pink,Pink,12 Months,31,
PID-P62Y8R,1,94829705,Pink,Pink,3T,31,
PID-P62Y8R,1,94829704,Pink,Pink,2T,31,
PID-P62Y8R,1,94829707,Pink,Pink,5T,31,
PID-P62Y8R,1,94829706,Pink,Pink,4T,31,
PID-P62Y8R,1,94829709,Yellow,Yellow,12 Months,31,
PID-P62Y8R,1,94971110,Off-White,Cream,2T,31,
PID-P62Y8R,1,94971112,Off-White,Cream,4T,31,
PID-P62Y8R,1,94829720,Blue,Light Blue,5T,31,
PID-P62Y8R,1,94971111,Off-White,Cream,3T,31,
PID-P62Y8R,1,94829701,Off-White,Cream,5T,31,
PID-P62Y8R,1,94829700,Off-White,Cream,4T,31,
PID-P62Y8R,1,94971113,Off-White,Cream,5T,31,
PID-P63EKX,,,,,,,
PID-P6460M,1,94675082,Beige,Beige,2T,31;33,
PID-P6460M,1,94675083,Beige,Beige,3T,31;33,
PID-P6460M,1,94675084,Beige,Beige,4T,31;33,
PID-P6460M,1,94675085,Beige,Beige,5T,31;33,
PID-P6460M,1,94675080,Beige,Beige,12 Months,31;33,
PID-P6460M,1,94675081,Beige,Beige,18 Months,31;33,
PID-P6460M,1,1010723374,Off-White,Cream,5T,31;33,
PID-P6460M,1,1010723373,Off-White,Cream,4T,31;33,
PID-P6460M,1,95156625,Green,Dark Olive Green,18 Months,31;33,
PID-P6460M,1,95156626,Green,Dark Olive Green,2T,31;33,
PID-P6460M,1,95156624,Green,Dark Olive Green,12 Months,31;33,
PID-P6460M,1,94675127,Green,Green,5T,31;33,
PID-P6460M,1,1010723372,Off-White,Cream,3T,31;33,
PID-P6460M,1,1010723371,Off-White,Cream,2T,31;33,
PID-P6460M,1,94413789,Green,Green,4T,31;33,
PID-P6460M,1,1010723370,Off-White,Cream,18 Months,31;33,
PID-P6460M,1,94675123,Green,Green,18 Months,31;33,
PID-P6460M,1,94413786,Gray,Charcoal Gray,4T,31;33,
PID-P6460M,1,94675124,Green,Green,2T,31;33,
PID-P6460M,1,94413785,Red,Maroon,3T,31;33,
PID-P6460M,1,94675125,Green,Green,3T,31;33,
PID-P6460M,1,94413788,Beige,Khaki,18 Months,31;33,
