PID,PartnerId,TcinId,Color,colorName,Size,DepartmentIds,ClassIds
PID-1K5GM0,,,,,,,
PID-1K62MR,ERROR,Failed to retrieve product information,,,,,
PID-1K74XE,103,94939365,White,True White,Medium,39,
PID-1K74XE,103,94939366,White,True White,Large,39,
PID-1K74XE,103,94939381,Purple,Light Violet,X Small,39,
PID-1K74XE,103,94939382,Purple,Light Violet,Small,39,
PID-1K74XE,103,94939379,Blue,Light Blue,X Large,39,
PID-1K74XE,103,94939371,Red,Red,Medium,39,
PID-1K74XE,103,94939385,Purple,Light Violet,X Large,39,
PID-1K74XE,103,94939377,Blue,Light Blue,Medium,39,
PID-1K74XE,103,94939384,Purple,Light Violet,Large,39,
PID-1K74XE,103,94939369,Red,Red,X Small,39,
PID-1K74XE,103,94939363,White,True White,X Small,39,
PID-1K74XE,103,94939368,White,True White,XX Large,39,
PID-1K74XE,103,94939364,White,True White,Small,39,
PID-1K74XE,103,94939367,White,True White,X Large,39,
PID-1K74XE,103,94939378,Blue,Light Blue,Large,39,
PID-1K74XE,103,94939386,Purple,Light Violet,XX Large,39,
PID-1K74XE,103,94939380,Blue,Light Blue,XX Large,39,
PID-1K74XE,103,94939376,Blue,Light Blue,Small,39,
PID-1K74XE,103,94939383,Purple,Light Violet,Medium,39,
PID-1K74XE,103,94939375,Blue,Light Blue,X Small,39,
PID-1K74XE,103,94939372,Red,Red,Large,39,
PID-1K74XE,103,94939374,Red,Red,XX Large,39,
PID-1K74XE,103,94939370,Red,Red,Small,39,
PID-1K74XE,103,94939373,Red,Red,X Large,39,
PID-1K7K38,113,94910843,Off-White,Cream,X Small,39,
PID-1K7K38,113,94910850,Purple,Plum Purple,Small,39,
PID-1K7K38,113,94910842,Green,Green,XX Large,39,
PID-1K7K38,113,94910847,Off-White,Cream,X Large,39,
PID-1K7K38,113,94910854,Purple,Plum Purple,XX Large,39,
PID-1K7K38,113,94910852,Purple,Plum Purple,Large,39,
PID-1K7K38,113,94910838,Green,Green,Small,39,
PID-1K7K38,113,94910853,Purple,Plum Purple,X Large,39,
PID-1K7K38,113,94910846,Off-White,Cream,Large,39,
PID-1K7K38,113,94910839,Green,Green,Medium,39,
PID-1K7K38,113,94910844,Off-White,Cream,Small,39,
PID-1K7K38,113,94910837,Green,Green,X Small,39,
PID-1K7K38,113,94910845,Off-White,Cream,Medium,39,
PID-1K7K38,113,94910840,Green,Green,Large,39,
PID-1K7K38,113,94910848,Off-White,Cream,XX Large,39,
PID-1K7K38,113,94910849,Purple,Plum Purple,X Small,39,
PID-1K7K38,113,94910841,Green,Green,X Large,39,
PID-1K7K38,113,94910851,Purple,Plum Purple,Medium,39,
PID-1K7YEY,113,94921110,Blue,Sapphire Blue,XX Large,39,
PID-1K7YEY,113,94921116,Red,Red,XX Large,39,
PID-1K7YEY,113,94921098,Purple,Plum Purple,XX Large,39,
PID-1K7YEY,113,94921111,Red,Red,X Small,39,
PID-1K7YEY,113,94921105,Blue,Sapphire Blue,X Small,39,
PID-1K7YEY,113,94921112,Red,Red,Small,39,
PID-1K7YEY,113,94921115,Red,Red,X Large,39,
PID-1K7YEY,113,94921097,Purple,Plum Purple,X Large,39,
PID-1K7YEY,113,94921107,Blue,Sapphire Blue,Medium,39,
PID-1K7YEY,113,94921093,Purple,Plum Purple,X Small,39,
PID-1K7YEY,113,94921114,Red,Red,Large,39,
PID-1K7YEY,113,94921117,Blue,Sky Blue,X Small,39,
PID-1K7YEY,113,94921118,Blue,Sky Blue,Small,39,
PID-1K7YEY,113,94921121,Blue,Sky Blue,X Large,39,
PID-1K7YEY,113,94921109,Blue,Sapphire Blue,X Large,39,
PID-1K7YEY,113,94921099,Black,Black,X Small,39,
PID-1K7YEY,113,94921119,Blue,Sky Blue,Medium,39,
PID-1K7YEY,113,94921106,Blue,Sapphire Blue,Small,39,
PID-1K7YEY,113,94921102,Black,Black,Large,39,
PID-1K7YEY,113,94921120,Blue,Sky Blue,Large,39,
PID-1K7YEY,113,94921113,Red,Red,Medium,39,
PID-1K7YEY,113,94921096,Purple,Plum Purple,Large,39,
PID-1K7YEY,113,94921122,Blue,Sky Blue,XX Large,39,
PID-1K7YEY,113,94921094,Purple,Plum Purple,Small,39,
PID-1K7YEY,113,94921100,Black,Black,Small,39,
PID-1K7YEY,113,94921103,Black,Black,X Large,39,
PID-1K7YEY,113,94921108,Blue,Sapphire Blue,Large,39,
PID-1K7YEY,113,94921095,Purple,Plum Purple,Medium,39,
PID-1K7YEY,113,94921101,Black,Black,Medium,39,
PID-1K7YEY,113,94921104,Black,Black,XX Large,39,
PID-1KM1XY,,,,,,,
PID-1KRK83,196,95117529,Black,Black,3T,39,
PID-1KRK83,196,95117525,Blue,Blue,3T,39,
PID-1KRK83,196,95117530,Black,Black,4T,39,
PID-1KRK83,196,95117524,Blue,Blue,2T,39,
PID-1KRK83,196,95117535,Pink,Pink,5T,39,
PID-1KRK83,196,95117532,Pink,Pink,2T,39,
PID-1KRK83,196,95117526,Blue,Blue,4T,39,
PID-1KRK83,196,95117534,Pink,Pink,4T,39,
PID-1KRK83,196,95117533,Pink,Pink,3T,39,
PID-1KRK83,196,95117528,Black,Black,2T,39,
